Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#4D0006,#4D0006,13.178,13.178,38.4538,38.4538,28.2368,28.2368
C9,#75050E,#66080E,23.4166,20.2824,53.055,46.436,33.4271,32.0397
C8,#A10D19,#9B141D,33.8526,33.0505,66.2912,61.9058,33.2561,32.1248
C7,#C91827,#D3202D,43.0948,45.8187,76.28,77.4642,31.9687,31.4285
C6,#F42738,#F42738,52.9231,52.9231,85.7123,85.7123,30.7338,30.7338
C5,#F54C5A,#FF4858,57.3911,58.5934,71.2722,76.4791,24.6665,25.5496
C4,#F7727D,#FF7B84,64.3989,68.6246,55.2201,58.2602,20.1334,21.2477
C3,#FA98A1,#FFADB3,73.1271,79.9129,39.288,36.9224,16.3792,17.4271
C2,#FCC0C5,#FFD5D8,83.141,89.3547,22.9585,18.3322,14.7894,15.1855
C1,#FFE8EA,#FFE8EA,93.8465,93.8465,8.3564,8.3564,12.9864,12.9864
