Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#001A4D,#001A4D,11.0948,11.0948,36.903,36.903,292.6064,292.6064
C9,#022975,#062567,19.567,17.0928,51.2328,45.7948,294.2085,293.8865
C8,#063AA1,#0A399C,28.4769,27.8725,65.5788,63.0272,294.8693,294.5406
C7,#0C4BC9,#064FD4,36.6032,38.6521,76.9497,80.3584,294.7608,294.6561
C6,#105CF4,#105CF4,44.6501,44.6501,89.5463,89.5463,294.9407,294.9407
C5,#3B79F5,#1174FE,53.161,51.5724,71.5567,79.827,288.5319,289.1969
C4,#6596F7,#6098FF,62.753,63.8182,54.8455,60.649,282.8125,283.6786
C3,#91B4FA,#9FC0FF,73.2602,77.5988,38.8464,38.1878,278.3885,278.9812
C2,#BDD2FC,#D0E0FF,83.9336,89.1253,22.9412,18.6189,274.8581,274.9951
C1,#E8F0FF,#E8F0FF,94.6088,94.6088,8.1179,8.1179,271.1229,271.1229
