Level,Original_HEX,Optimized_HEX,Original_L,Optimized_L,Original_C,Optimized_C,Original_H,Optimized_H
C10,#E8FBFF,#E8FBFF,97.3771,97.3771,6.7597,6.7597,216.5975,216.5975
C9,#BBEFFA,#D1F5FD,91.3234,94.3129,17.689,12.5331,217.2608,217.4333
C8,#8FE6F7,#A3E8F7,86.5756,88.1784,27.4516,22.8973,216.8749,217.6116
C7,#66DBF2,#6ADBF2,81.7805,81.8271,33.9943,33.1423,218.6303,219.2888
C6,#3ED2F0,#3ED2F0,78.1127,78.1127,38.558,38.558,222.064,222.064
C5,#32CEED,#35BEDA,76.6368,71.28,39.1497,36.0825,222.6019,222.6181
C4,#1FA9C4,#269AB1,63.8761,58.5612,34.5502,31.1964,223.2387,223.2779
C3,#10849C,#177185,50.7002,43.8804,29.5004,25.523,225.8053,225.3006
C2,#066173,#075160,37.5263,31.1616,23.8368,20.6855,225.1704,225.0701
C1,#00404D,#00404D,24.3289,24.3289,18.3073,18.3073,225.4284,225.4284
